a-replyID,type,label,text,data
r01000,postback,嗯嗯,嗯嗯，時間差不多了。,1
r01001,postback,好,好的，麻煩你帶我過去吧！,2
r01002,postback,跳進去,（輕輕一跳，剛好跳到正中心）,1
r01003,postback,走進去,（一個跨步走入了傳送陣）,2
r01004,postback,敬禮,（微微低頭）,1
r01005,postback,打招呼,領主您好。,2
r01006,postback,了解,我了解，相信領主一定會賞罰分明的。,1
r01007,postback,我知道,我知道了，我相信您。,2
r01008,postback,親自給,（默默向領主的方向走去）,1
r01009,postback,托人給,（把手中的水晶交給Silas，並輕輕推了他一下）,2
r01100,postback,走向前,（靠近一步，感受到能量聚集所帶來的衝擊）,1
r01101,postback,先等等,（看著眼前發生的事情，眼睛不斷睜大）,2
r01102,postback,虛心接受,那我就不客氣的收下了！,1
r01103,postback,感謝領主,領主，謝謝您。,2
r01200,postback,發下豪語,我下次一定會找到足夠的綠水晶，讓怪物領地裡的大家豐衣足食。,1
r01201,postback,自我勉勵,希望我下次可以收集更多的綠水晶，讓怪物領地的農作物還是可以茂盛生長！,2
r01300,postback,道別,謝謝你們也祝福你們！,1
r01301,postback,下次再見,下次見，我會再回來的！,2
r01302,postback,拿走,Silas，我會好好收藏的！,1
r02001,postback,感謝,謝謝你，Silas！,2
r10000,postback,大聲讚嘆,哇～喔～這裡好酷啊～果然是三大領地之一！,1
r10001,postback,仔細觀察周圍,hmmmm.....好新奇啊！（眼睛不停的到處巡視）,2
r10002,postback,是,是的。,1
r10003,postback,沒錯,對呀沒錯！,2
r10004,postback,直接推開,（舉起手，直接握上門把）,1
r10005,postback,敲敲門,（舉起手，準備敲門）,2
r10006,postback,前進,（帶著探究的眼神向前跨出一小步）,1
r10007,postback,後退,（默不做聲的往後移了一點）,2
r10008,postback,狀況好糟,天啊，那最近大家都餓著肚子嗎？但感覺撐不了多久了...,1
r10009,postback,難過,這真是個令人難過的消息... ,2
r10010,postback,好啊,好啊，希望我幫的上忙。,1
r10011,postback,沒問題,沒問題，找我就對了！,2
r10012,postback,有點害羞,你好啊，你真是個害羞的人啊哈哈。,1
r10013,postback,有點怕我,Silas你好，我很和藹的不用怕我。,2
r10014,postback,我可以,包在我身上！賭上我勇者的名號，我一定會把水晶都找回來的！,1
r10015,postback,我努力,好的，我會努力在傍晚前找到綠水晶的！,2
r11000,postback,覺得疑惑,（困惑的表情浮現臉上）,1
r11001,postback,看向Silas,（默默的轉向Silas）,2
r11002,postback,好可憐,但是Judy看起來好可憐啊... 他是發生了什麼事啊？,1
r11003,postback,心情不好,常常這樣？Judy看起來心情好差，他是遇到了什麼困難嗎？,2
r11004,postback,幫助Judy,Judy你好——,1
r11005,postback,走掉,（目不斜視地走過Judy身邊）,2
r11006,postback,我試試,我盡力試試看，希望可以幫到你！,1
r11007,postback,好吧,好吧，我就試試看喔，沒幫到你不要怪我。,2
r11100,postback,微笑,不客氣，我只不過是順手幫了一點小忙。,1
r11101,postback,伸手,謝啦！我很喜歡！,2
r11102,postback,什麼！,什麼？！這就是我們要找的綠水晶嗎？,1
r11103,postback,真假！,真的假的！太幸運了吧！謝謝 Judy！,2
r11104,postback,謝謝,Judy真的很謝謝你～,1
r11105,postback,真幸運,Judy是我們的幸運星啊！,2
r12000,postback,你是誰,我們受領主之託來找東西。請問...你是誰？,1
r12001,postback,你好,你好，我們應該沒有妨礙到你吧？,2
r12002,postback,一定是,我覺得Dullahan說的那一定是我們在找的綠水晶！,1
r12003,postback,不確定,那聽起來有點像綠水晶...是吧？,2
r12004,postback,去找,與其漫無目的的找，不然還是聽聽Dullahan說的地方在哪，去看看也好。,1
r12005,postback,要資料,Dullahan，請問你可以告訴我們那個地點在哪嗎？,2
r12100,postback,找到了,真的有綠水晶，找到了！,1
r12101,postback,太好了,太好啦！我們又收集到了。,2
r12102,postback,收起來,（蹲下身拾起綠水晶）,1
r12103,postback,給Silas,Silas，交給你了。,2
r12104,postback,多謝,謝謝你，Dullahan，我們拿到了！,1
r12105,postback,找到了,找到了，謝謝Dullahan的幫助。,2
r12200,postback,沒有,剛剛一路上並沒有看到。,1
r12201,postback,不知道,我不是很確定剛剛走的路是不是對的...,2
r12300,postback,聽不懂,什麼意思？,1
r12301,postback,可能吧,或許真的如你所說吧！,2
r13000,postback,這有水晶,按照這個狀況，感覺雜草會生長這麼茂盛應該是有綠水晶在附近！,1
r13001,postback,希望如此,我也希望如此，我直覺這附近有綠水晶，雜草跟藤蔓才可能長這麼茂盛吧！,2
r13002,postback,美麗,那隻鳥的羽毛五顏六色的、顏色好美啊！,1
r13003,postback,特別,那隻鳥的羽毛顏色好特別，牠好像把大自然裡最亮麗的顏色都穿在身上了。,2
r13004,postback,是水晶,欸欸！翅膀底下的是不是水晶？,1
